concept_group	concept_name	atlas_search_terms	expected_sources	preferred_sources	notes	required_for_feasibility	high_priority
Treatment exposures	R-CHOP	R-CHOP|RCHOP|CHOP|rituximab CHOP	RKKP_LYFO;SP_AdministreretMedicin;SP_OrdineretMedicin	RKKP_LYFO	Candidate immunochemotherapy regimen term.	FALSE	TRUE
Treatment exposures	R-DHAP	R-DHAP|RDHAP|DHAP|dexamethasone cytarabine cisplatin	RKKP_LYFO;SP_AdministreretMedicin;SP_OrdineretMedicin	RKKP_LYFO	Candidate cytarabine-containing induction regimen term.	FALSE	TRUE
Treatment exposures	Cytarabine / Ara-C	cytarabine|Ara-C|L01BC01|cytosar|high-dose cytarabine	SP_AdministreretMedicin;SP_OrdineretMedicin;SDS_indberetningmedpris	SP_AdministreretMedicin	Cytarabine exposure is a regimen component, not a complete regimen alone.	FALSE	TRUE
Treatment exposures	Rituximab	rituximab|MabThera|L01FA01|L01XC02	SP_AdministreretMedicin;SP_OrdineretMedicin;SDS_indberetningmedpris	SP_AdministreretMedicin	Anti-CD20 component evidence for immunochemotherapy.	FALSE	TRUE
Treatment exposures	Bendamustine	bendamustine|bendamustin|L01AA09|BR	RKKP_LYFO;SP_AdministreretMedicin;SP_OrdineretMedicin	RKKP_LYFO	Candidate alternative CIT/regimen term.	FALSE	FALSE
Treatment exposures	ASCT / HDT	ASCT|HDT|high-dose therapy|autologous stem-cell support|autologe stamcellestoette|stem-cell infusion|transplant	RKKP_LYFO;SDS_t_sksube;SDS_t_sksopr;procedure_andre	RKKP_LYFO	Autologous transplant/high-dose therapy exposure feasibility.	TRUE	TRUE
Treatment exposures	Stem-cell infusion date	stem-cell infusion date|autologous stem-cell date|stamcellestoette_dt|transplant date	RKKP_LYFO;SDS_t_sksube;SDS_t_sksopr	RKKP_LYFO	Date evidence for treatment-timing feasibility.	FALSE	TRUE
Treatment exposures	Ibrutinib	ibrutinib|Imbruvica|L01XE27|BTK inhibitor|BWHA169	SP_AdministreretMedicin;SP_OrdineretMedicin;SDS_indberetningmedpris;RKKP_LYFO	SP_AdministreretMedicin;SDS_indberetningmedpris	BTK inhibitor exposure evidence; timing needs explicit exposure date.	TRUE	TRUE
High-risk biology	Blastoid morphology	blastoid|blastoid morphology|blastoid variant|morphology	SDS_pato;t_mikro;t_konk;RKKP_LYFO	SDS_pato;t_mikro;t_konk	Likely requires pathology code/text activation and mapping.	TRUE	TRUE
High-risk biology	Pleomorphic morphology	pleomorphic|pleomorf|pleomorphic morphology|morphology	SDS_pato;t_mikro;t_konk;RKKP_LYFO	SDS_pato;t_mikro;t_konk	Likely requires pathology code/text activation and mapping.	TRUE	TRUE
High-risk biology	TP53	TP53|p53|del17p|del(17p)|17p|FISH TP53	RKKP_LYFO;SDS_pato;FISH;CLLPANEL_WIDE;t_mikro;t_konk	FISH;SDS_pato	TP53 or p53/del17p evidence may require molecular/FISH or pathology source activation.	TRUE	TRUE
High-risk biology	p53	p53|TP53|immunohistochemistry|IHC	SDS_pato;t_mikro;t_konk;FISH	SDS_pato;t_mikro;t_konk	Pathology text or molecular/FISH evidence may be required.	FALSE	TRUE
High-risk biology	del17p	del17p|del(17p)|17p deletion|FISH	RKKP_LYFO;FISH;CLLPANEL_WIDE	FISH	Deletion evidence should remain source-scoped.	FALSE	TRUE
High-risk biology	Ki-67	Ki-67|Ki67|proliferation index|proliferationsindeks	SDS_pato;t_mikro;t_konk;RKKP_LYFO	SDS_pato;t_mikro;t_konk	Likely pathology text or structured pathology evidence; do not infer if absent.	TRUE	TRUE
High-risk biology	MIPI	MIPI|Mantle Cell Lymphoma International Prognostic Index|age|ECOG|LDH|leukocytes	RKKP_LYFO;laboratory_npu	RKKP_LYFO	MIPI may be direct or reconstructable from components.	TRUE	TRUE
High-risk biology	MIPI-c	MIPI-c|MIPIc|combined MIPI|Ki-67|MIPI	RKKP_LYFO;SDS_pato;t_mikro;t_konk	RKKP_LYFO;SDS_pato	MIPI-c requires Ki-67 plus clinical MIPI components.	TRUE	TRUE
High-risk biology	LDH	LDH|lactate dehydrogenase|Reg_LDH|Reg_LDHVaerdi|NPU19660	RKKP_LYFO;SDS_lab_forsker;SP_AlleProvesvar;PERSIMUNE_biochemistry	RKKP_LYFO;laboratory_npu	MIPI component and disease-burden marker.	TRUE	TRUE
High-risk biology	Leukocytes	leukocytes|leukocytter|white blood cells|WBC|NPU02593	RKKP_LYFO;SDS_lab_forsker;SP_AlleProvesvar	RKKP_LYFO;laboratory_npu	MIPI component candidate.	TRUE	TRUE
High-risk biology	ECOG / performance status	ECOG|performance status|Reg_PS|WHO performance	RKKP_LYFO	RKKP_LYFO	MIPI/transplant-fit component.	TRUE	TRUE
High-risk biology	Ann Arbor stage	Ann Arbor|Reg_AnnArbor|Reg_Stadium|stage	RKKP_LYFO	RKKP_LYFO	Stage may support eligibility/risk context but is not sufficient alone.	FALSE	TRUE
Outcomes	Death / overall survival	death|date of death|overall survival|OS|t_doedsaarsag|dead|dod	RKKP_LYFO;t_doedsaarsag;patient	RKKP_LYFO;t_doedsaarsag	OS feasibility requires death/follow-up dates.	TRUE	TRUE
Outcomes	Relapse	relapse|relaps|recurrence|Rec_|ind_relaps	RKKP_LYFO	RKKP_LYFO	Registry follow-up/recurrence fields can support relapse proxies.	TRUE	TRUE
Outcomes	Progression	progression|progression disease|PD|failure-free survival|FFS	RKKP_LYFO;CLL_TREAT_IBRUTINIB	RKKP_LYFO	Progression evidence may be registry-specific or proxy-based.	TRUE	TRUE
Outcomes	Next treatment	next treatment|new treatment|Rec_NyBehandling|recurrence treatment|second line	RKKP_LYFO;SP_Behandlingsplaner_Del1;SP_Behandlingsplaner_Del2	RKKP_LYFO	Next-treatment proxy can support FFS-like endpoints with careful design.	FALSE	TRUE
Outcomes	Response evaluation	response|response evaluation|remission|Beh_Response|Rec_Response	RKKP_LYFO	RKKP_LYFO	Response/follow-up evidence supports outcome feasibility.	FALSE	FALSE
Outcomes	Follow-up disease status	follow-up|followup|disease status|ind_fu|Rec_	RKKP_LYFO	RKKP_LYFO	Follow-up status requires source-specific definitions.	FALSE	TRUE
Safety / toxicity proxies	Admission	admission|hospitalisation|hospitalization|t_adm|kontakt|ADT	t_adm;kontakter;SP_ADT_Haendelser	t_adm	Admission proxies are aggregate feasibility signals only.	FALSE	FALSE
Safety / toxicity proxies	ICU	ICU|ITA|ITAOphold|intensive care	ITAOphold;SP_ADT_Haendelser	ITAOphold	ICU proxy for severe toxicity/infection burden.	FALSE	FALSE
Safety / toxicity proxies	Infection	infection|microbiology|blood culture|Bloddyrkning|culture|BLOODCULTURE	SP_Bloddyrkning_del1;SP_Bloddyrkning_del2;PERSIMUNE_microbiology_culture	SP_Bloddyrkning_del1	Microbiology evidence supports infection phenotype development, not attribution.	FALSE	FALSE
Safety / toxicity proxies	Neutropenic fever proxy	neutropenic fever|febrile neutropenia|neutropeni|fever|infection	SP_Bloddyrkning_del1;SP_AlleProvesvar;SDS_lab_forsker	SP_Bloddyrkning_del1	Proxy requires careful combined lab/admission/microbiology definitions.	FALSE	FALSE
Safety / toxicity proxies	Antibiotic exposure	antibiotic|antibiotika|J01|antiinfective	SP_AdministreretMedicin;SP_OrdineretMedicin;SDS_indberetningmedpris	SP_AdministreretMedicin	Antibiotic exposure is a proxy and not a confirmed infection endpoint.	FALSE	FALSE
Safety / toxicity proxies	Hospitalisation	hospitalisation|hospitalization|admission|contact|forloeb|kontakter	t_adm;kontakter;forloeb	t_adm	Contact/admission source feasibility for toxicity burden.	FALSE	FALSE
Safety / toxicity proxies	Transfusion	transfusion|blood product|erythrocyte|platelet transfusion	SP_AdministreretMedicin;SDS_t_sksube;SDS_t_sksopr	SP_AdministreretMedicin	Optional toxicity/supportive-care proxy if available.	FALSE	FALSE
